Time Stamp,Can ID,Data
9/14/2023 8:00,111,1
9/14/2023 8:01,397,0
9/14/2023 8:02,205,0
9/14/2023 8:03,206,0
9/14/2023 8:04,111,1
9/14/2023 8:05,397,0
9/14/2023 8:06,205,0
9/14/2023 8:07,206,0
9/14/2023 8:08,111,1
9/14/2023 8:09,397,0
9/14/2023 8:10,205,0
9/14/2023 8:11,206,0
9/14/2023 8:12,111,1
9/14/2023 8:13,397,0
9/14/2023 8:14,205,0
9/14/2023 8:15,206,0
9/14/2023 8:16,111,1
9/14/2023 8:17,397,0
9/14/2023 8:18,205,0
9/14/2023 8:19,206,0
9/14/2023 8:20,111,1
9/14/2023 8:21,397,0
9/14/2023 8:22,205,0
9/14/2023 8:23,206,0
9/14/2023 8:24,111,1
9/14/2023 8:25,397,0
9/14/2023 8:26,205,0
9/14/2023 8:27,206,0
9/14/2023 8:28,111,1
9/14/2023 8:29,397,0
9/14/2023 8:30,205,0
9/14/2023 8:31,206,0
9/14/2023 8:32,111,1
9/14/2023 8:33,397,0
9/14/2023 8:34,205,0
9/14/2023 8:35,206,0
9/14/2023 8:36,111,1
9/14/2023 8:37,397,0
9/14/2023 8:38,205,0
9/14/2023 8:39,206,0
9/14/2023 8:40,111,1
9/14/2023 8:41,397,0
9/14/2023 8:42,205,0
9/14/2023 8:43,206,0
9/14/2023 8:44,111,1
9/14/2023 8:45,397,0
9/14/2023 8:46,205,0
9/14/2023 8:47,206,0
9/14/2023 8:48,111,1
9/14/2023 8:49,397,0
9/14/2023 8:50,205,0
9/14/2023 8:51,206,0
9/14/2023 8:52,111,1
9/14/2023 8:53,397,0
9/14/2023 8:54,205,0
9/14/2023 8:55,206,0
9/14/2023 8:56,111,1
9/14/2023 8:57,397,0
9/14/2023 8:58,205,0
9/14/2023 8:59,206,0
9/14/2023 9:00,111,1
9/14/2023 9:01,397,0
9/14/2023 9:02,205,0
9/14/2023 9:03,206,0
9/14/2023 9:04,111,1
9/14/2023 9:05,397,0
9/14/2023 9:06,205,0
9/14/2023 9:07,206,0
9/14/2023 9:08,111,1
9/14/2023 9:09,397,0
9/14/2023 9:10,205,0
9/14/2023 9:11,206,0
9/14/2023 9:12,111,1
9/14/2023 9:13,397,0
9/14/2023 9:14,205,0
9/14/2023 9:15,206,0
9/14/2023 9:16,111,1
9/14/2023 9:17,397,0
9/14/2023 9:18,205,0
9/14/2023 9:19,206,0
9/14/2023 9:20,111,1
9/14/2023 9:21,397,0
9/14/2023 9:22,205,0
9/14/2023 9:23,206,0
9/14/2023 9:24,111,1
9/14/2023 9:25,397,0
9/14/2023 9:26,205,0
9/14/2023 9:27,206,0
9/14/2023 9:28,111,1
9/14/2023 9:29,397,0
9/14/2023 9:30,205,0
9/14/2023 9:31,206,0
9/14/2023 9:32,111,1
9/14/2023 9:33,397,0
9/14/2023 9:34,205,0
9/14/2023 9:35,206,0
9/14/2023 9:36,111,1
9/14/2023 9:37,397,0
9/14/2023 9:38,205,0
9/14/2023 9:39,206,0
9/14/2023 9:39,111,1
9/14/2023 9:40,397,0
9/14/2023 9:41,205,0
9/14/2023 9:42,206,0
9/14/2023 9:43,111,1
9/14/2023 9:44,397,0
9/14/2023 9:45,205,0
9/14/2023 9:46,206,0
9/14/2023 9:47,111,1
9/14/2023 9:48,397,0
9/14/2023 9:49,205,0
9/14/2023 9:50,206,0
9/14/2023 9:51,111,1
9/14/2023 9:52,397,0
9/14/2023 9:53,205,0
9/14/2023 9:54,206,0
9/14/2023 9:55,111,1
9/14/2023 9:56,397,0
9/14/2023 9:57,205,0
9/14/2023 9:58,206,0
9/14/2023 9:59,111,1
9/14/2023 10:00,397,0
9/14/2023 10:01,205,0
9/14/2023 10:02,206,0
9/14/2023 10:03,111,1
9/14/2023 10:04,397,0
9/14/2023 10:05,205,0
9/14/2023 10:06,206,0
9/14/2023 10:07,111,1
9/14/2023 10:08,397,0
9/14/2023 10:09,205,0
9/14/2023 10:10,206,0
